,Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
6583,12.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6584,13.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6585,14.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6586,15.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6587,16.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6588,17.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6589,18.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6590,19.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6591,20.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6592,21.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6593,22.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6594,23.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6595,24.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6596,25.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6597,26.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6598,27.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6599,28.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6600,29.02.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6601,01.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6602,02.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6603,03.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6604,04.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6605,05.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6606,06.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6607,07.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6608,08.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6609,09.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6610,10.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6611,11.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6612,12.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6613,13.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6614,14.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6615,15.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6616,16.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6617,17.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6618,18.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6619,19.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6620,20.03.1996,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
